Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
a3,com.nonononoki.alovoa,Tools,getDistanceToUser,Magic Number,The method contains a magic number: 99999,146
a3,com.nonononoki.alovoa,Tools,getBase64Size,Magic Number,The method contains a magic number: 2,157
a3,com.nonononoki.alovoa,Tools,getBase64Size,Magic Number,The method contains a magic number: 4,157
a3,com.nonononoki.alovoa,Tools,getBase64Size,Magic Number,The method contains a magic number: 3,157
a3,com.nonononoki.alovoa,Tools,calcDistanceKm,Long Statement,The length of the statement "double a=Math.sin(latDistance / 2) * Math.sin(latDistance / 2) + Math.cos(Math.toRadians(userLat)) * Math.cos(Math.toRadians(venueLat)) * Math.sin(lngDistance / 2)* Math.sin(lngDistance / 2);" is 191.,175
a3,com.nonononoki.alovoa,Tools,calcDistanceKm,Magic Number,The method contains a magic number: 2,175
a3,com.nonononoki.alovoa,Tools,calcDistanceKm,Magic Number,The method contains a magic number: 2,175
a3,com.nonononoki.alovoa,Tools,calcDistanceKm,Magic Number,The method contains a magic number: 2,175
a3,com.nonononoki.alovoa,Tools,calcDistanceKm,Magic Number,The method contains a magic number: 2,175
a3,com.nonononoki.alovoa,Tools,calcDistanceKm,Magic Number,The method contains a magic number: 2,175
a3,com.nonononoki.alovoa,Tools,usersCompatible,Complex Conditional,The conditional expression user2.getPreferedGenders() == null || user1.getPreferedGenders() == null || user1.getDates() == null || user2.getDates() == null is complex.,188
a3,com.nonononoki.alovoa,Tools,usersCompatible,Long Statement,The length of the statement "if (user2.getPreferedGenders() == null || user1.getPreferedGenders() == null || user1.getDates() == null || user2.getDates() == null) {" is 135.,188
a3,com.nonononoki.alovoa,Tools,usersCompatible,Long Statement,The length of the statement "return user2Age < AGE_LEGAL == user1Age < AGE_LEGAL && user2.getPreferedGenders().contains(user1.getGender()) && user1.getPreferedGenders().contains(user2.getGender()) && user1.getPreferedMaxAge() >= user2Age && user1.getPreferedMinAge() <= user2Age && user2.getPreferedMaxAge() >= user1Age && user2.getPreferedMinAge() <= user1Age && user2.getIntention().getText().equals(user1.getIntention().getText());" is 405.,188
a3,com.nonononoki.alovoa,Tools,getCountryEmoji,Magic Number,The method contains a magic number: 0x41,238
a3,com.nonononoki.alovoa,Tools,getCountryEmoji,Magic Number,The method contains a magic number: 0x1F1E6,238
a3,com.nonononoki.alovoa,Tools,getCountryEmoji,Magic Number,The method contains a magic number: 0x41,238
a3,com.nonononoki.alovoa,Tools,getCountryEmoji,Magic Number,The method contains a magic number: 0x1F1E6,238
a3,com.nonononoki.alovoa,Tools,getAuthParams,Long Parameter List,The method has 6 parameters. ,257
a3,com.nonononoki.alovoa,Tools,getAuthParams,Long Statement,The length of the statement "builder.append("?remember-me=").append(cookieData).append("&jsessionid=").append(httpSessionId).append("&page=").append(page);" is 126.,257
a3,com.nonononoki.alovoa,Tools,getAuthParams,Long Parameter List,The method has 5 parameters. ,269
a3,com.nonononoki.alovoa.html,UserProfileResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,77
a3,com.nonononoki.alovoa.html,MessageResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,69
a3,com.nonononoki.alovoa.html,MessageResourceTest,test,Magic Number,The method contains a magic number: 2,82
a3,com.nonononoki.alovoa.html,PasswordResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,65
a3,com.nonononoki.alovoa.html,BlockedUsersResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,67
a3,com.nonononoki.alovoa.html,DonateResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,65
a3,com.nonononoki.alovoa.html,SearchResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,65
a3,com.nonononoki.alovoa.html,NotificationResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,67
a3,com.nonononoki.alovoa.html,NotificationResourceTest,test,Magic Number,The method contains a magic number: 2,80
a3,com.nonononoki.alovoa.html,ProfileResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,65
a3,com.nonononoki.alovoa.html,DeleteAccountResourceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,65
a3,com.nonononoki.alovoa.html,InfoResource,imprint,Long Statement,The length of the statement "mav.addObject("info"`objectMapper.writeValueAsString(InfoDto.builder().numConfirmedUsers(userRepo.countByConfirmed(true)).numFemaleUser(userRepo.countByConfirmedAndGenderId(true`Tools.GENDER_FEMALE_ID)).numMaleUsers(userRepo.countByConfirmedAndGenderId(true`Tools.GENDER_MALE_ID)).numLikes(userLikeRepo.count()).numMatches(conversationRepo.count()).build()));" is 359.,31
a3,com.nonononoki.alovoa.html,NotificationResource,notification,Long Statement,The length of the statement "boolean blockedMe=user.getBlockedByUsers().stream().anyMatch(b -> b.getUserFrom().getId().equals(n.getUserFrom().getId()));" is 123.,41
a3,com.nonononoki.alovoa.html,DislikedUsersResource,dislikedUsers,Long Statement,The length of the statement "List<User> dislikedUsers=userDislikes.stream().sorted(Comparator.comparing(UserHide::getDate).reversed()).limit(MAX_RESULTS).map(b -> b.getUserTo()).collect(Collectors.toList());" is 178.,38
a3,com.nonononoki.alovoa.html,BlockedUsersResource,blockedUsers,Long Statement,The length of the statement "List<User> blockedUsers=userBlocks.stream().sorted(Comparator.comparing(UserBlock::getDate).reversed()).limit(MAX_RESULTS).map(b -> b.getUserTo()).collect(Collectors.toList());" is 176.,38
a3,com.nonononoki.alovoa.html,SearchResource,search,Complex Conditional,The conditional expression !user.isAdmin() && user.getProfilePicture() == null && user.getDescription() == null is complex.,46
a3,com.nonononoki.alovoa.html,AdminVerificationResource,admin,Long Statement,The length of the statement "List<UserVerificationPicture> verificationPictures=userVerificationPictureRepo.findTop20ByVerifiedByAdminFalseOrderByDateAsc();" is 127.,40
a3,com.nonononoki.alovoa.html,LikedUsersResource,likedUsers,Long Statement,The length of the statement "List<User> likedUsers=userLikes.stream().sorted(Comparator.comparing(UserLike::getDate).reversed()).limit(MAX_RESULTS).map(b -> b.getUserTo()).collect(Collectors.toList());" is 172.,38
a3,com.nonononoki.alovoa.html,ProfileResource,profile,Long Statement,The length of the statement "if (user.getDates().getIntentionChangeDate() == null || now.getTime() >= user.getDates().getIntentionChangeDate().getTime() + intentionDelay) {" is 143.,58
a3,com.nonononoki.alovoa.html,ProfileResource,getWarnings,Long Statement,The length of the statement "return ProfileWarningDto.builder().hasWarning(hasWarning).noDescription(noDescription).noGender(noGender).noIntention(noIntention).noLocation(noLocation).noProfilePicture(noProfilePicture).build();" is 197.,121
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,117
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Long Method,The method has 199 lines of code.,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 4,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 100,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 16,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 100,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 16,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 3,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 3,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 3,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 3,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 3,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 0.45,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 0.46,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 50,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,SearchAndMessageServiceTest,test,Magic Number,The method contains a magic number: 3,130
a3,com.nonononoki.alovoa.service,NotificationServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,75
a3,com.nonononoki.alovoa.service,ScheduleServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,90
a3,com.nonononoki.alovoa.service,ScheduleServiceTest,test,Magic Number,The method contains a magic number: 2,103
a3,com.nonononoki.alovoa.service,ScheduleServiceTest,test,Magic Number,The method contains a magic number: 2,103
a3,com.nonononoki.alovoa.service,ScheduleServiceTest,test,Magic Number,The method contains a magic number: 2,103
a3,com.nonononoki.alovoa.service,ScheduleServiceTest,test,Magic Number,The method contains a magic number: 2,103
a3,com.nonononoki.alovoa.service,RegisterServiceTest,getTestUsers,Magic Number,The method contains a magic number: 2,115
a3,com.nonononoki.alovoa.service,RegisterServiceTest,getTestUsers,Magic Number,The method contains a magic number: 2,115
a3,com.nonononoki.alovoa.service,RegisterServiceTest,deleteAllUsers,Long Parameter List,The method has 5 parameters. ,170
a3,com.nonononoki.alovoa.service,PasswordServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,79
a3,com.nonononoki.alovoa.service,AdminServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,90
a3,com.nonononoki.alovoa.service,AdminServiceTest,test,Magic Number,The method contains a magic number: 10.00,103
a3,com.nonononoki.alovoa.service,UserServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,84
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Long Method,The method has 123 lines of code.,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Long Statement,The length of the statement "String userDataString=new BufferedReader(new InputStreamReader(inputStream`StandardCharsets.UTF_8)).lines().collect(Collectors.joining("\n"));" is 142.,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Long Statement,The length of the statement "assertEquals(objectMapper.writeValueAsString(authService.getCurrentUser().getDates())`objectMapper.writeValueAsString(gdpr.getDates()));" is 136.,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Long Statement,The length of the statement "assertEquals(objectMapper.writeValueAsString(authService.getCurrentUser().getDonations())`objectMapper.writeValueAsString(gdpr.getDonations()));" is 144.,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Long Statement,The length of the statement "assertEquals(objectMapper.writeValueAsString(authService.getCurrentUser().getGender())`objectMapper.writeValueAsString(gdpr.getGender()));" is 138.,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Long Statement,The length of the statement "assertEquals(objectMapper.writeValueAsString(authService.getCurrentUser().getIntention())`objectMapper.writeValueAsString(gdpr.getIntention()));" is 144.,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 2,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 4,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 100,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 16,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 2,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 100,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 16,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 3,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 2,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 3,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 2,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 2,97
a3,com.nonononoki.alovoa.service,UserServiceTest,test,Magic Number,The method contains a magic number: 0.001,97
a3,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 2,255
a3,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 2,255
a3,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 2,255
a3,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 2,255
a3,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 2,255
a3,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 2,255
a3,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 3,255
a3,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Magic Number,The method contains a magic number: 4,255
a3,com.nonononoki.alovoa.service,UserServiceTest,testVerificationProcess,Magic Number,The method contains a magic number: 2,314
a3,com.nonononoki.alovoa.service,DonateServiceTest,before,Long Statement,The length of the statement "Mockito.when(mailService.sendMail(Mockito.any(String.class)`any(String.class)`any(String.class)`any(String.class))).thenReturn(true);" is 133.,81
a3,com.nonononoki.alovoa.service,DonateServiceTest,test,Magic Number,The method contains a magic number: 0.001,94
a3,com.nonononoki.alovoa.service,DonateServiceTest,test,Magic Number,The method contains a magic number: 15,94
a3,com.nonononoki.alovoa.service,DonateServiceTest,test,Magic Number,The method contains a magic number: 2,94
a3,com.nonononoki.alovoa.service,DonateServiceTest,testWithRealDataKofi,Long Statement,The length of the statement "String kofiString="{\"email\":\"" + user2.getEmail() + "\"`\"message_id\":\"27c5906e-8a77-4949-844c-a08d13f70340\"`\"message\":\""+ user2.getEmail()+ "\"`\"timestamp\":\"2022-06-26T08:24:19Z\"`\"type\":\"Donation\"`\"from_name\":\"Somebody\"`\"amount\":\"3.00\"`\"url\":\"https://ko-fi.com/Home/CoffeeShop?txid=e0397a56-594f-4764-8f80-761baafcdbf4&readToken=e274f1de-5fb3-4e38-86df-4af1de6bb3c9\"`\"kofi_transaction_id\":\"e0397a56-594f-4764-8f80-761baafcdbf5\"`\"_public\":false}";" is 482.,130
a3,com.nonononoki.alovoa.service,DonateServiceTest,testWithRealDataKofi,Magic Number,The method contains a magic number: 2,130
a3,com.nonononoki.alovoa.service,RegisterService,registerOauth,Complex Conditional,The conditional expression referrer != null && referrer.isConfirmed() && referrer.getNumberReferred() < referralMax is complex.,156
a3,com.nonononoki.alovoa.service,RegisterService,registerConfirm,Complex Conditional,The conditional expression referrer != null && referrer.isConfirmed() && referrer.getNumberReferred() < referralMax is complex.,217
a3,com.nonononoki.alovoa.service,RegisterService,registerBase,Complex Method,Cyclomatic complexity of the method is 9,264
a3,com.nonononoki.alovoa.service,AdminService,banUser,Long Statement,The length of the statement "UserDeleteParams userDeleteParam=UserDeleteParams.builder().conversationRepo(conversationRepo).userBlockRepo(userBlockRepo).userHideRepo(userHideRepo).userLikeRepo(userLikeRepo).userNotificationRepo(userNotificationRepo).userRepo(userRepo).userReportRepo(userReportRepo).userVerificationPictureRepo(userVerificationPictureRepo).build();" is 336.,138
a3,com.nonononoki.alovoa.service,AdminService,deleteAccount,Long Statement,The length of the statement "UserDeleteParams userDeleteParam=UserDeleteParams.builder().conversationRepo(conversationRepo).userBlockRepo(userBlockRepo).userHideRepo(userHideRepo).userLikeRepo(userLikeRepo).userNotificationRepo(userNotificationRepo).userRepo(userRepo).userReportRepo(userReportRepo).build();" is 279.,199
a3,com.nonononoki.alovoa.service,UserService,removeUserDataCascading,Complex Method,Cyclomatic complexity of the method is 26,125
a3,com.nonononoki.alovoa.service,UserService,removeUserDataCascading,Long Method,The method has 130 lines of code.,125
a3,com.nonononoki.alovoa.service,UserService,convertAudioMp3Wav,Magic Number,The method contains a magic number: 16000,281
a3,com.nonononoki.alovoa.service,UserService,convertAudioMp3Wav,Magic Number,The method contains a magic number: 8,281
a3,com.nonononoki.alovoa.service,UserService,deleteAccountConfirm,Long Statement,The length of the statement "UserDeleteParams userDeleteParam=UserDeleteParams.builder().conversationRepo(conversationRepo).userBlockRepo(userBlockRepo).userHideRepo(userHideRepo).userLikeRepo(userLikeRepo).userNotificationRepo(userNotificationRepo).userRepo(userRepo).userReportRepo(userReportRepo).userVerificationPictureRepo(userVerificationPictureRepo).build();" is 336.,307
a3,com.nonononoki.alovoa.service,UserService,updateIntention,Long Statement,The length of the statement "if (user.getDates().getIntentionChangeDate() == null || now.getTime() >= user.getDates().getIntentionChangeDate().getTime() + intentionDelay) {" is 143.,421
a3,com.nonononoki.alovoa.service,UserService,updateUserMiscInfo,Long Statement,The length of the statement "list.removeIf(o -> o.getValue() != infoValue && o.getValue() >= UserMiscInfo.KIDS_NO && o.getValue() <= UserMiscInfo.KIDS_YES);" is 127.,475
a3,com.nonononoki.alovoa.service,UserService,updateUserMiscInfo,Long Statement,The length of the statement "list.removeIf(o -> o.getValue() != infoValue && o.getValue() >= UserMiscInfo.RELATIONSHIP_SINGLE && o.getValue() <= UserMiscInfo.RELATIONSHIP_OTHER);" is 149.,475
a3,com.nonononoki.alovoa.service,UserService,addInterest,Complex Conditional,The conditional expression value.length() < interestMinCharSize || value.length() > interestMaxCharSize || user.getInterests().size() >= interestSize is complex.,501
a3,com.nonononoki.alovoa.service,UserService,addInterest,Long Statement,The length of the statement "if (value.length() < interestMinCharSize || value.length() > interestMaxCharSize || user.getInterests().size() >= interestSize) {" is 129.,501
a3,com.nonononoki.alovoa.service,UserService,getInterestAutocomplete,Long Statement,The length of the statement "List<UserInterestDto> interests=userInterestRepo.getInterestAutocomplete(name`interestTexts`PageRequest.of(0`interestAutocompleteMax));" is 135.,546
a3,com.nonononoki.alovoa.service,UserService,adjustPicture,Magic Number,The method contains a magic number: 2,607
a3,com.nonononoki.alovoa.service,UserService,adjustPicture,Magic Number,The method contains a magic number: 2,607
a3,com.nonononoki.alovoa.service,UserService,adjustPicture,Magic Number,The method contains a magic number: 2,607
a3,com.nonononoki.alovoa.service,UserService,adjustPicture,Magic Number,The method contains a magic number: 2,607
a3,com.nonononoki.alovoa.service,UserService,hasNewMessage,Complex Conditional,The conditional expression user != null && user.getDates().getMessageDate() != null && user.getDates().getMessageCheckedDate() != null is complex.,823
a3,com.nonononoki.alovoa.service,UserService,upvoteVerificationPicture,Long Statement,The length of the statement "if (user.getVerificationPicture().getUserYes().contains(currentUser) || user.getVerificationPicture().getUserNo().contains(currentUser)) {" is 138.,967
a3,com.nonononoki.alovoa.service,UserService,downvoteVerificationPicture,Long Statement,The length of the statement "if (user.getVerificationPicture().getUserYes().contains(currentUser) || user.getVerificationPicture().getUserNo().contains(currentUser)) {" is 138.,987
a3,com.nonononoki.alovoa.service,DonateService,filter,Long Statement,The length of the statement "donationsToDtos=DonationDto.donationsToDtos(userDonationRepo.findTop20ByUserDatesDateOfBirthGreaterThanEqualAndUserDatesDateOfBirthLessThanEqualOrderByDateDesc(minDate`maxDate)`user`userService`textEncryptor`maxEntries);" is 220.,63
